Generation,Time,All,Acceptable,Unacceptable
1st, 3 seconds,0,0,0
2nd, 1 hours 3 minutes 6 seconds,1,1,0
3rd, 4 hours 27 minutes 12 seconds,0,0,0
4th, 4 hours 33 minutes 17 seconds,2,0,2
5th, 4 hours 51 minutes 22 seconds,0,0,0
6th, 4 hours 51 minutes 28 seconds,0,0,0
7th, 4 hours 51 minutes 33 seconds,1,0,1
8th, 4 hours 51 minutes 40 seconds,2,1,1
9th, 5 hours 15 minutes 46 seconds,0,0,0
10th, 5 hours 15 minutes 53 seconds,4,1,3
11th, 5 hours 16 minutes 0 seconds,2,0,2
12th, 5 hours 25 minutes 7 seconds,2,1,1
13th, 5 hours 26 minutes 56 seconds,2,0,2
14th, 5 hours 36 minutes 1 seconds,2,0,2
15th, 5 hours 36 minutes 10 seconds,4,0,4
16th, 5 hours 36 minutes 20 seconds,4,0,4
17th, 5 hours 51 minutes 30 seconds,7,2,5
18th, 5 hours 51 minutes 41 seconds,2,0,2
19th, 5 hours 51 minutes 54 seconds,1,0,1
20th, 5 hours 52 minutes 5 seconds,3,1,2
21st, 5 hours 52 minutes 19 seconds,4,1,3
22nd, 5 hours 52 minutes 30 seconds,4,1,3
23rd, 5 hours 52 minutes 43 seconds,2,1,1
24th, 6 hours 1 minutes 52 seconds,3,0,3
25th, 6 hours 2 minutes 5 seconds,1,0,1
26th, 6 hours 2 minutes 17 seconds,0,0,0
27th, 6 hours 38 minutes 14 seconds,1,1,0
28th, 6 hours 39 minutes 41 seconds,0,0,0
29th, 6 hours 39 minutes 54 seconds,3,2,1
30th, 6 hours 40 minutes 7 seconds,1,0,1
31st, 6 hours 40 minutes 19 seconds,5,2,3
32nd, 6 hours 40 minutes 34 seconds,0,0,0
33rd, 6 hours 40 minutes 47 seconds,2,1,1
34th, 6 hours 41 minutes 1 seconds,1,1,0
35th, 6 hours 59 minutes 7 seconds,2,0,2
36th, 7 hours 8 minutes 19 seconds,1,1,0
37th, 7 hours 26 minutes 29 seconds,4,1,3
38th, 7 hours 26 minutes 43 seconds,3,1,2
39th, 7 hours 26 minutes 58 seconds,5,1,4
40th, 7 hours 27 minutes 13 seconds,6,2,4
41st, 7 hours 27 minutes 30 seconds,4,0,4
42nd, 7 hours 27 minutes 46 seconds,0,0,0
43rd, 7 hours 52 minutes 2 seconds,1,0,1
44th, 7 hours 52 minutes 18 seconds,1,0,1
45th, 7 hours 52 minutes 32 seconds,0,0,0
46th, 7 hours 52 minutes 47 seconds,0,0,0
47th, 7 hours 53 minutes 1 seconds,0,0,0
48th, 7 hours 53 minutes 16 seconds,1,0,1
49th, 7 hours 53 minutes 32 seconds,1,0,1
50th, 7 hours 53 minutes 47 seconds,1,0,1
51st, 7 hours 54 minutes 2 seconds,1,1,0
52nd, 7 hours 54 minutes 20 seconds,1,0,1
53rd, 7 hours 54 minutes 36 seconds,0,0,0
54th, 7 hours 54 minutes 53 seconds,1,0,1
55th, 7 hours 55 minutes 12 seconds,0,0,0
56th, 7 hours 55 minutes 19 seconds,1,0,1
