Generation,Time,All,Acceptable,Unacceptable
1st, 10 seconds,1,1,0
2nd, 17 seconds,0,0,0
3rd, 25 seconds,3,2,1
4th, 35 seconds,2,2,0
5th, 46 seconds,3,3,0
6th, 59 seconds,5,5,0
7th, 4 minutes 11 seconds,3,3,0
8th, 4 minutes 23 seconds,1,1,0
9th, 4 minutes 37 seconds,5,3,2
10th, 7 minutes 52 seconds,9,6,3
11th, 8 minutes 5 seconds,5,1,4
12th, 8 minutes 18 seconds,4,1,3
13th, 8 minutes 30 seconds,3,3,0
14th, 8 minutes 43 seconds,2,1,1
15th, 8 minutes 56 seconds,1,0,1
16th, 9 minutes 9 seconds,1,1,0
17th, 9 minutes 23 seconds,1,0,1
18th, 9 minutes 36 seconds,3,1,2
19th, 9 minutes 49 seconds,0,0,0
20th, 10 minutes 3 seconds,2,0,2
21st, 10 minutes 16 seconds,0,0,0
22nd, 10 minutes 30 seconds,0,0,0
23rd, 10 minutes 43 seconds,0,0,0
24th, 10 minutes 56 seconds,1,0,1
25th, 11 minutes 9 seconds,0,0,0
26th, 14 minutes 23 seconds,0,0,0
27th, 14 minutes 37 seconds,0,0,0
28th, 14 minutes 50 seconds,0,0,0
29th, 15 minutes 4 seconds,0,0,0
30th, 15 minutes 20 seconds,0,0,0
31st, 15 minutes 35 seconds,0,0,0
32nd, 15 minutes 49 seconds,0,0,0
33rd, 16 minutes 4 seconds,0,0,0
34th, 16 minutes 19 seconds,0,0,0
35th, 16 minutes 33 seconds,0,0,0
36th, 16 minutes 49 seconds,0,0,0
37th, 17 minutes 5 seconds,0,0,0
38th, 17 minutes 20 seconds,0,0,0
39th, 17 minutes 36 seconds,0,0,0
40th, 17 minutes 53 seconds,0,0,0
41st, 18 minutes 8 seconds,0,0,0
42nd, 18 minutes 25 seconds,0,0,0
43rd, 18 minutes 42 seconds,0,0,0
44th, 18 minutes 59 seconds,0,0,0
45th, 19 minutes 16 seconds,0,0,0
46th, 19 minutes 32 seconds,0,0,0
47th, 19 minutes 49 seconds,0,0,0
48th, 20 minutes 6 seconds,0,0,0
49th, 20 minutes 22 seconds,0,0,0
50th, 20 minutes 39 seconds,0,0,0
51st, 20 minutes 54 seconds,0,0,0
52nd, 21 minutes 9 seconds,0,0,0
53rd, 21 minutes 26 seconds,0,0,0
54th, 21 minutes 42 seconds,0,0,0
55th, 21 minutes 59 seconds,0,0,0
56th, 22 minutes 16 seconds,0,0,0
57th, 22 minutes 33 seconds,0,0,0
58th, 22 minutes 51 seconds,0,0,0
59th, 23 minutes 6 seconds,0,0,0
60th, 26 minutes 25 seconds,0,0,0
61st, 32 minutes 42 seconds,0,0,0
62nd, 39 minutes 0 seconds,0,0,0
63rd, 1 hours 27 minutes 25 seconds,0,0,0
64th, 1 hours 36 minutes 46 seconds,0,0,0
65th, 1 hours 43 minutes 10 seconds,0,0,0
66th, 1 hours 55 minutes 31 seconds,0,0,0
67th, 2 hours 4 minutes 54 seconds,0,0,0
68th, 3 hours 17 minutes 17 seconds,0,0,0
69th, 4 hours 53 minutes 43 seconds,0,0,0
70th, 5 hours 12 minutes 4 seconds,0,0,0
