Time,Accumulated All,Accumulated Acceptable,Accumulated Unacceptable
4,0,0,0
5,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
23,2,1,1
24,2,1,1
25,2,1,1
35,3,1,2
36,3,1,2
38,3,1,2
50,3,1,2
51,3,1,2
64,3,1,2
1985,3,1,2
1986,3,1,2
1991,4,1,3
1992,4,1,3
1993,4,1,3
2004,4,1,3
2005,5,1,4
2010,5,1,4
2016,5,1,4
2017,5,1,4
2022,5,1,4
2028,8,1,7
2032,8,1,7
2034,8,1,7
2041,11,1,10
2043,12,1,11
2046,13,1,12
2047,13,1,12
2054,13,1,12
2055,17,1,16
2057,17,1,16
2058,17,1,16
2062,17,1,16
2069,19,1,18
2071,19,1,18
2079,19,1,18
2085,20,1,19
2096,20,1,19
2101,21,1,20
4037,21,1,20
4040,21,1,20
4050,21,1,20
4052,21,1,20
4053,21,1,20
4064,23,1,22
4093,23,1,22
4098,23,1,22
4110,23,1,22
5965,23,1,22
5979,23,1,22
5991,23,1,22
6041,23,1,22
6047,23,1,22
6049,23,1,22
6058,24,1,23
6067,25,1,24
6083,25,1,24
6095,25,1,24
6101,25,1,24
6110,25,1,24
6114,25,1,24
6132,25,1,24
7943,25,1,24
7955,25,1,24
7969,25,1,24
7984,25,1,24
7987,25,1,24
8013,25,1,24
8024,25,1,24
8045,25,1,24
8064,25,1,24
8081,25,1,24
8101,26,2,24
8102,26,2,24
8109,26,2,24
8124,26,2,24
8130,27,2,25
8145,27,2,25
8150,27,2,25
8168,27,2,25
8190,27,2,25
8210,27,2,25
8665,27,2,25
8677,27,2,25
8689,27,2,25
8698,27,2,25
8707,27,2,25
8720,28,3,25
9978,29,4,25
9982,30,4,26
9995,30,4,26
10014,31,4,27
10019,31,4,27
10029,31,4,27
10034,32,4,28
10044,32,4,28
10049,33,5,28
10058,34,5,29
10100,34,5,29
10122,34,5,29
10131,34,5,29
10150,34,5,29
10151,34,5,29
10170,34,5,29
10173,34,5,29
10189,34,5,29
10196,34,5,29
10212,34,5,29
10218,34,5,29
10236,34,5,29
10241,34,5,29
10712,34,5,29
10726,34,5,29
10738,34,5,29
11111,34,5,29
11128,34,5,29
11972,34,5,29
11986,34,5,29
11991,34,5,29
11999,34,5,29
12016,34,5,29
12046,36,6,30
12187,36,6,30
12207,36,6,30
12238,36,6,30
12242,36,6,30
13123,36,6,30
13140,36,6,30
13159,36,6,30
13179,36,6,30
13986,36,6,30
13994,36,6,30
14011,36,6,30
14036,36,6,30
14042,38,8,30
14055,38,8,30
14059,40,8,32
14074,40,8,32
14078,40,8,32
14095,40,8,32
14114,40,8,32
14196,40,8,32
14207,40,8,32
14241,40,8,32
14244,41,8,33
14265,41,8,33
14266,41,8,33
14290,42,8,34
14313,42,8,34
15985,42,8,34
16004,43,9,34
16026,43,9,34
16044,43,9,34
16077,49,10,39
16084,49,10,39
16114,49,10,39
16195,49,10,39
16216,49,10,39
16235,49,10,39
16256,49,10,39
16269,49,10,39
16277,49,10,39
16291,49,10,39
16299,49,10,39
16316,49,10,39
16339,49,10,39
17341,49,10,39
17362,49,10,39
18003,49,10,39
18020,49,10,39
18040,49,10,39
18116,49,10,39
18190,49,10,39
18296,49,10,39
18344,50,10,40
19543,50,10,40
19563,50,10,40
20040,50,10,40
20058,54,10,44
20063,54,10,44
20080,54,10,44
20084,54,10,44
20102,54,10,44
20105,54,10,44
20116,54,10,44
20189,54,10,44
20204,54,10,44
20222,54,10,44
20241,54,10,44
20260,54,10,44
20283,54,10,44
20300,54,10,44
20306,54,10,44
20323,54,10,44
20346,54,10,44
20665,55,10,45
22101,55,10,45
22122,55,10,45
22127,56,10,46
22191,56,10,46
22213,56,10,46
22260,56,10,46
22280,56,10,46
22296,56,10,46
22328,56,10,46
22350,56,10,46
22353,56,10,46
22374,56,10,46
22376,56,10,46
22396,56,10,46
22491,56,10,46
22645,56,10,46
22668,56,10,46
24124,56,10,46
24217,56,10,46
24242,56,10,46
24281,56,10,46
24297,56,10,46
24302,56,10,46
24322,56,10,46
24379,57,10,47
24401,58,10,48
24404,58,10,48
24494,58,10,48
24518,59,10,49
24540,59,10,49
24670,59,10,49
26108,59,10,49
26127,59,10,49
26128,59,10,49
26148,59,10,49
26149,60,10,50
26180,60,10,50
26202,60,10,50
26222,60,10,50
26299,60,10,50
26319,60,10,50
26322,60,10,50
26341,60,10,50
26408,60,10,50
26543,60,10,50
26567,61,10,51
26673,61,10,51
26698,61,10,51
26792,61,10,51
28151,61,10,51
28173,61,10,51
28196,61,10,51
28218,61,10,51
28241,61,10,51
28386,61,10,51
28410,61,10,51
28411,61,10,51
28435,61,10,51
28459,61,10,51
28483,62,10,52
28507,62,10,52
28522,63,10,53
28533,63,10,53
30203,65,10,55
30223,65,10,55
30243,65,10,55
30263,65,10,55
30283,65,10,55
30302,65,10,55
30323,65,10,55
30335,65,10,55
30356,65,10,55
30377,65,10,55
30397,65,10,55
30418,65,10,55
30440,66,10,56
30538,66,10,56
30564,66,10,56
30588,66,10,56
30683,66,10,56
30704,66,10,56
30707,66,10,56
31515,66,10,56
31548,66,10,56
32223,66,10,56
32247,66,10,56
32284,66,10,56
32326,66,10,56
32442,66,10,56
32468,66,10,56
32531,66,10,56
32555,66,10,56
32580,66,10,56
32608,66,10,56
32706,66,10,56
32729,66,10,56
32752,66,10,56
32960,66,10,56
32981,66,10,56
33004,66,10,56
33568,66,10,56
34249,66,10,56
34286,67,10,57
34308,67,10,57
34330,67,10,57
34353,67,10,57
34377,67,10,57
34400,67,10,57
34423,67,10,57
34473,67,10,57
34496,67,10,57
34510,67,10,57
34536,67,10,57
34561,67,10,57
34573,67,10,57
34585,68,10,58
34870,68,10,58
34894,68,10,58
34918,68,10,58
34934,68,10,58
